wavelength,value
3175.65980,0.16219
3174.69543,0.16097
3173.73107,0.15998
3172.76670,0.15903
3171.80233,0.15790
3170.83797,0.15668
3169.87360,0.15558
3168.90923,0.15466
3167.94487,0.15377
3166.98050,0.15273
3166.01613,0.15152
3165.05177,0.15036
3164.08740,0.14937
3163.12303,0.14841
3162.15867,0.14731
3161.19430,0.14618
3160.22993,0.14508
3159.26556,0.14382
3158.30120,0.14239
3157.33683,0.14106
3156.37246,0.13999
3155.40810,0.13900
3154.44373,0.13800
3153.47936,0.13709
3152.51500,0.13621
3151.55063,0.13518
3150.58626,0.13399
3149.62190,0.13286
3148.65753,0.13183
3147.69316,0.13086
3146.72880,0.12985
3145.76443,0.12876
3144.80006,0.12771
3143.83570,0.12681
3142.87133,0.12592
3141.90696,0.12488
3140.94260,0.12383
3139.97823,0.12284
3139.01386,0.12177
3138.04950,0.12060
3137.08513,0.11957
3136.12076,0.11864
3135.15640,0.11760
3134.19203,0.11652
3133.22766,0.11553
3132.26330,0.11466
3131.29893,0.11397
3130.33456,0.11325
3129.37019,0.11222
3128.40583,0.11103
3127.44146,0.10996
3126.47709,0.10901
3125.51273,0.10809
3124.54836,0.10716
3123.58399,0.10616
3122.61963,0.10513
3121.65526,0.10426
3120.69089,0.10368
3119.72653,0.10315
3118.76216,0.10235
3117.79779,0.10133
3116.83343,0.10043
3115.86906,0.09976
3114.90469,0.09912
3113.94033,0.09824
3112.97596,0.09722
3112.01159,0.09635
3111.04723,0.09561
3110.08286,0.09486
3109.11849,0.09402
3108.15413,0.09316
3107.18976,0.09233
3106.22539,0.09149
3105.26103,0.09063
3104.29666,0.08977
3103.33229,0.08893
3102.36793,0.08812
3101.40356,0.08742
3100.43919,0.08682
3099.47482,0.08621
3098.51046,0.08559
3097.54609,0.08502
3096.58172,0.08441
3095.61736,0.08364
3094.65299,0.08270
3093.68862,0.08178
3092.72426,0.08102
3091.75989,0.08033
3090.79552,0.07956
3089.83116,0.07881
3088.86679,0.07825
3087.90242,0.07774
3086.93806,0.07708
3085.97369,0.07630
3085.00932,0.07555
3084.04496,0.07490
3083.08059,0.07437
3082.11622,0.07384
3081.15186,0.07323
3080.18749,0.07259
3079.22312,0.07202
3078.25876,0.07149
3077.29439,0.07097
3076.33002,0.07035
3075.36566,0.06954
3074.40129,0.06872
3073.43692,0.06817
3072.47255,0.06794
3071.50819,0.06766
3070.54382,0.06711
3069.57945,0.06651
3068.61509,0.06606
3067.65072,0.06562
3066.68635,0.06511
3065.72199,0.06455
3064.75762,0.06392
3063.79325,0.06319
3062.82889,0.06259
3061.86452,0.06216
3060.90015,0.06168
3059.93579,0.06099
3058.97142,0.06030
3058.00705,0.05980
3057.04269,0.05938
3056.07832,0.05890
3055.11395,0.05843
3054.14959,0.05803
3053.18522,0.05766
3052.22085,0.05717
3051.25649,0.05667
3050.29212,0.05627
3049.32775,0.05591
3048.36339,0.05551
3047.39902,0.05512
3046.43465,0.05470
3045.47029,0.05424
3044.50592,0.05380
3043.54155,0.05344
3042.57718,0.05319
3041.61282,0.05290
3040.64845,0.05251
3039.68408,0.05215
3038.71972,0.05191
3037.75535,0.05169
3036.79098,0.05134
3035.82662,0.05090
3034.86225,0.05051
3033.89788,0.05027
3032.93352,0.05021
3031.96915,0.05024
3031.00478,0.05018
3030.04042,0.04999
3029.07605,0.04983
3028.11168,0.04983
3027.14732,0.04991
3026.18295,0.04998
3025.21858,0.05008
3024.25422,0.05036
3023.28985,0.05087
3022.32548,0.05153
3021.36112,0.05231
3020.39675,0.05324
3019.43238,0.05417
3018.46802,0.05504
3017.50365,0.05606
3016.53928,0.05737
3015.57492,0.05890
3014.61055,0.06053
3013.64618,0.06208
3012.68181,0.06340
3011.71745,0.06454
3010.75308,0.06552
3009.78871,0.06622
3008.82435,0.06654
3007.85998,0.06648
3006.89561,0.06608
3005.93125,0.06534
3004.96688,0.06434
3004.00251,0.06324
3003.03815,0.06216
3002.07378,0.06094
3001.10941,0.05954
3000.14505,0.05811
2999.18068,0.05670
2998.21631,0.05527
2997.25195,0.05391
2996.28758,0.05271
2995.32321,0.05172
2994.35885,0.05088
2993.39448,0.05016
2992.43011,0.04967
2991.46575,0.04941
2990.50138,0.04925
2989.53701,0.04912
2988.57265,0.04912
2987.60828,0.04937
2986.64391,0.04978
2985.67954,0.05022
2984.71518,0.05073
2983.75081,0.05130
2982.78644,0.05196
2981.82208,0.05289
2980.85771,0.05414
2979.89334,0.05553
2978.92898,0.05706
2977.96461,0.05872
2977.00024,0.06046
2976.03588,0.06238
2975.07151,0.06458
2974.10714,0.06707
2973.14278,0.06989
2972.17841,0.07300
2971.21404,0.07639
2970.24968,0.08013
2969.28531,0.08428
2968.32094,0.08884
2967.35658,0.09383
2966.39221,0.09906
2965.42784,0.10429
2964.46348,0.10946
2963.49911,0.11470
2962.53474,0.12008
2961.57038,0.12537
2960.60601,0.13033
2959.64164,0.13482
2958.67728,0.13877
2957.71291,0.14209
2956.74854,0.14474
2955.78417,0.14660
2954.81981,0.14748
2953.85544,0.14738
2952.89107,0.14649
2951.92671,0.14515
2950.96234,0.14386
2949.99797,0.14310
2949.03361,0.14309
2948.06924,0.14399
2947.10487,0.14592
2946.14051,0.14897
2945.17614,0.15308
2944.21177,0.15823
2943.24741,0.16441
2942.28304,0.17159
2941.31867,0.17971
2940.35431,0.18871
2939.38994,0.19859
