wavelength,value
3109.11849,0.08123
3108.15413,0.08063
3107.18976,0.08006
3106.22539,0.07953
3105.26103,0.07898
3104.29666,0.07826
3103.33229,0.07737
3102.36793,0.07658
3101.40356,0.07601
3100.43919,0.07552
3099.47482,0.07507
3098.51046,0.07464
3097.54609,0.07405
3096.58172,0.07328
3095.61736,0.07256
3094.65299,0.07199
3093.68862,0.07146
3092.72426,0.07094
3091.75989,0.07039
3090.79552,0.06978
3089.83116,0.06911
3088.86679,0.06849
3087.90242,0.06796
3086.93806,0.06743
3085.97369,0.06686
3085.00932,0.06632
3084.04496,0.06584
3083.08059,0.06538
3082.11622,0.06496
3081.15186,0.06461
3080.18749,0.06434
3079.22312,0.06401
3078.25876,0.06353
3077.29439,0.06295
3076.33002,0.06238
3075.36566,0.06184
3074.40129,0.06137
3073.43692,0.06096
3072.47255,0.06066
3071.50819,0.06044
3070.54382,0.06005
3069.57945,0.05941
3068.61509,0.05877
3067.65072,0.05829
3066.68635,0.05784
3065.72199,0.05735
3064.75762,0.05686
3063.79325,0.05645
3062.82889,0.05605
3061.86452,0.05559
3060.90015,0.05515
3059.93579,0.05479
3058.97142,0.05440
3058.00705,0.05400
3057.04269,0.05362
3056.07832,0.05326
3055.11395,0.05295
3054.14959,0.05266
3053.18522,0.05226
3052.22085,0.05182
3051.25649,0.05143
3050.29212,0.05106
3049.32775,0.05065
3048.36339,0.05024
3047.39902,0.04991
3046.43465,0.04966
3045.47029,0.04935
3044.50592,0.04896
3043.54155,0.04864
3042.57718,0.04841
3041.61282,0.04822
3040.64845,0.04797
3039.68408,0.04771
3038.71972,0.04750
3037.75535,0.04733
3036.79098,0.04718
3035.82662,0.04703
3034.86225,0.04696
3033.89788,0.04701
3032.93352,0.04701
3031.96915,0.04684
3031.00478,0.04664
3030.04042,0.04654
3029.07605,0.04652
3028.11168,0.04664
3027.14732,0.04699
3026.18295,0.04745
3025.21858,0.04796
3024.25422,0.04854
3023.28985,0.04930
3022.32548,0.05019
3021.36112,0.05112
3020.39675,0.05220
3019.43238,0.05352
3018.46802,0.05501
3017.50365,0.05658
3016.53928,0.05832
3015.57492,0.06026
3014.61055,0.06229
3013.64618,0.06423
3012.68181,0.06595
3011.71745,0.06741
3010.75308,0.06864
3009.78871,0.06953
3008.82435,0.06993
3007.85998,0.06990
3006.89561,0.06962
3005.93125,0.06909
3004.96688,0.06814
3004.00251,0.06676
3003.03815,0.06521
3002.07378,0.06367
3001.10941,0.06201
3000.14505,0.06015
2999.18068,0.05828
2998.21631,0.05663
2997.25195,0.05514
2996.28758,0.05388
2995.32321,0.05284
2994.35885,0.05197
2993.39448,0.05133
2992.43011,0.05096
2991.46575,0.05072
2990.50138,0.05055
2989.53701,0.05050
2988.57265,0.05058
2987.60828,0.05074
2986.64391,0.05100
2985.67954,0.05148
2984.71518,0.05226
2983.75081,0.05322
2982.78644,0.05417
2981.82208,0.05527
2980.85771,0.05664
2979.89334,0.05810
2978.92898,0.05969
2977.96461,0.06160
2977.00024,0.06376
2976.03588,0.06610
2975.07151,0.06868
2974.10714,0.07149
2973.14278,0.07459
2972.17841,0.07811
2971.21404,0.08205
2970.24968,0.08649
2969.28531,0.09146
2968.32094,0.09672
2967.35658,0.10208
2966.39221,0.10779
2965.42784,0.11398
2964.46348,0.12032
2963.49911,0.12641
2962.53474,0.13228
2961.57038,0.13809
2960.60601,0.14364
2959.64164,0.14860
2958.67728,0.15306
2957.71291,0.15714
2956.74854,0.16056
2955.78417,0.16294
2954.81981,0.16418
2953.85544,0.16449
2952.89107,0.16401
2951.92671,0.16286
