X,Y,Z
-23.674,540.148,80.298
-70.537,541.064,63.179
-62.722,540.414,56.915
-88.911,541.997,57.245
-70.722,541.059,-57.517
-85.952,542.102,-64.59
-84.993,541.765,-56.646
-23.039,541.571,102.04
-36.823,539.704,64.225
-46.248,540.133,67.304
-62.001,540.771,66.651
-70.084,541.602,74.572
-53.77,540.601,71.172
-79.494,541.911,69.404
-60.669,541.133,75.227
-46.333,540.585,76.781
-38.736,540.101,72.082
-54.724,541.143,80.492
-47.246,541.147,85.869
-63.438,541.765,83.753
-55.5,541.761,89.748
-48.074,541.812,95.049
-38.787,541.194,91.157
-36.219,540.491,81.117
-26.484,540.796,90.286
-41.076,541.885,99.558
-32.724,541.64,99.918
-86.544,542.18,65.068
-28.798,539.393,61.211
-91.524,542.238,-59.295
-77.719,541.223,-51.94
-25.595,539.102,54.23
2.8945,538.347,0.78596
2.9217,538.365,-0.67738
3.6684,538.359,-0.50271
3.5226,538.351,0.48581
2.1007,538.338,2.1413
2.833,538.341,2.3271
3.2764,538.351,1.3933
0.73076,538.336,2.9097
2.2728,538.338,2.877
1.2762,538.334,3.4678
-0.8403,538.333,2.8804
-0.65171,538.334,3.6372
0.5142,538.335,3.6594
-2.1805,538.342,2.0615
-2.3798,538.341,2.7901
-1.406,538.339,3.4173
-2.9233,538.353,0.67755
-2.9192,538.344,2.2198
-3.4916,538.346,1.2125
-2.8648,538.364,-0.89269
-3.6245,538.362,-0.7181
-3.669,538.355,0.44709
-2.0212,538.377,-2.2174
-2.7458,538.376,-2.43
-3.3907,538.365,-1.4681
-0.62372,538.378,-2.9343
-2.1655,538.381,-2.9586
-1.194,538.384,-3.3542
0.94515,538.381,-2.8467
0.49798,538.387,-3.6387
-0.27377,538.381,-3.5496
2.2539,538.375,-1.9787
2.5035,538.379,-2.7308
1.4091,538.384,-3.3237
2.1833,538.387,-3.4833
3.5153,538.37,-1.1629
3.1694,538.377,-2.0051
114.89,542.92,-5.0173
114.89,542.931,4.9048
110.63,542.549,2.2682
110.41,542.527,-2.5566
114.01,542.892,-15.015
110.2,542.522,-7.3719
110.07,542.547,-12.481
112.27,542.867,-24.898
109.42,542.532,-17.271
108.76,542.537,-22.179
109.67,542.833,-34.591
107.69,542.532,-26.903
106.44,542.512,-31.572
106.24,542.784,-44.021
104.96,542.499,-36.186
103.32,542.487,-40.734
102,542.742,-53.116
101.44,542.462,-45.203
99.392,542.442,-49.585
96.978,542.681,-61.806
97.134,542.422,-53.875
94.698,542.397,-58.06
91.221,542.634,-70.026
92.074,542.379,-62.136
89.278,542.348,-66.092
84.768,542.574,-77.712
86.309,542.329,-69.925
83.176,542.302,-73.623
77.67,542.507,-84.807
79.885,542.274,-77.182
76.441,542.25,-80.593
69.981,542.456,-91.255
72.851,542.228,-83.851
69.123,542.196,-86.95
61.758,542.404,-97.009
65.263,542.172,-89.883
61.487,542.161,-92.627
53.065,542.351,-102.02
54.028,542.149,-97.635
57.387,542.136,-95.222
43.969,542.305,-106.26
45.132,541.956,-99.403
49.716,542.126,-99.9
34.537,542.27,-109.69
33.166,542.052,-106.44
36.06,541.93,-103.12
40.752,541.937,-101.28
24.842,542.248,-112.28
28.38,542.049,-107.94
14.958,542.22,-114.02
19.206,541.882,-107.48
15.874,542.007,-110.22
23.481,542.034,-109.03
4.9605,542.217,-114.89
11.049,542.001,-110.81
6.9093,541.941,-110.2
-5.0751,542.219,-114.89
-3.6485,541.89,-109.5
2.0943,541.936,-110.4
-15.072,542.225,-114.01
-8.423,541.889,-109.24
-12.917,542,-110.57
-24.954,542.246,-112.26
-21.949,541.988,-108.73
-17.729,542.006,-109.9
-34.646,542.272,-109.66
-26.847,542.007,-107.64
-31.299,542.001,-106.17
-44.075,542.311,-106.22
-35.902,542.015,-104.71
-40.788,542.031,-102.91
-53.167,542.355,-101.97
-45.422,542.055,-100.99
-50.082,542.102,-99.21
-61.855,542.398,-96.948
-54.532,542.123,-96.891
-58.867,542.173,-94.778
-70.072,542.456,-91.186
-62.946,542.197,-92.12
-66.473,542.228,-89.883
-77.755,542.512,-84.73
-70.331,542.253,-86.897
-72.369,542.159,-82.851
-84.846,542.575,-77.629
-75.915,542.177,-79.614
-80.152,542.246,-76.212
-91.291,542.626,-69.936
-83.539,542.278,-72.51
-87.144,542.351,-69.168
-97.041,542.688,-61.711
-90.079,542.367,-65.3
-92.933,542.449,-62.557
-102.05,542.735,-53.016
-96.224,542.389,-54.654
-95.574,542.473,-58.443
-106.28,542.788,-43.917
-98.554,542.267,-45.518
-102.34,542.481,-43.179
-98.517,542.406,-50.403
-109.71,542.833,-34.483
-105.38,542.472,-33.607
-104.12,542.491,-38.673
-112.3,542.87,-24.787
-106.75,542.49,-28.977
-114.03,542.894,-14.902
-106.84,542.349,-18.777
-107.91,542.504,-24.291
-110.44,542.603,-15.824
